class_name	major	category
Wstęp do informatyki	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Analiza matematyczna	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Fizyka I	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Wstęp do geomatyki	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Algebra liniowa	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Podstawy elektroniki i architektura komputerów	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Algorytmy i struktury danych	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Logika i matematyka dyskretna	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Fizyka II	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Równania różniczkowe	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Programowanie proceduralne	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Statystyka matematyczna	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Programowanie w języku R	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Wstęp do inżynierii i analizy danych w naukach o Ziemi	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Programowanie obiektowe	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Szyfrowanie i kompresja danych	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Przetwarzanie danych w systemie Unix	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Laboratorium fizyczne	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Bazy danych I	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Metody numeryczne	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Programowanie w języku Python (I)	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Techniki internetowe	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Systemy Informatyczne	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Systemy interpretacyjne w sejsmice	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Analiza sygnałów dyskretnych	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Modelowanie statystyczne w naukach o Ziemi	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Sztuczna inteligencja i systemy ekspertowe	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Komputerowe systemy pomiarowe	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Metody optymalizacji	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Programowanie w języku Python (II)	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Wizualizacja danych	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Analiza szeregów czasowych	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
